'y-axis saved as y
'x,KHM052_h-CuMnAs_reflection_3_21_19_2.raw,Ycalc
16.4032477,73,85.5416683
16.423742,88,85.3425225
16.4442362,71,85.1494066
16.4647305,82,84.9665786
16.4852248,96,84.8029266
16.505719,79,84.6743655
16.5262133,89,84.5844014
16.5467075,93,84.457273
16.5672018,88,84.1898834
16.5876961,80,83.8932816
16.6081903,89,83.6820864
16.6286846,69,83.5289678
16.6491789,73,83.3631901
16.6696731,79,83.1274392
16.6901674,75,82.8787443
16.7106616,71,82.6680769
16.7311559,69,82.4793916
16.7516502,77,82.2991321
16.7721444,88,82.1243537
16.7926387,96,81.9558938
16.813133,130,81.7971738
16.8336272,138,81.6558575
16.8541215,107,81.5463303
16.8746157,104,81.4773673
16.89511,95,81.3974816
16.9156043,105,81.1950088
16.9360985,119,80.9020966
16.9565928,100,80.6929505
16.9770871,91,80.5564874
16.9975813,81,80.4293377
17.0180756,98,80.2420005
17.0385698,74,80.0036407
17.0590641,83,79.8051769
17.0795584,79,79.6357269
17.1000526,74,79.4758316
17.1205469,68,79.3198259
17.1410412,63,79.1662184
17.1615354,65,79.0144858
17.1820297,79,78.8643814
17.2025239,83,78.7157428
17.2230182,76,78.5684982
17.2435125,78,78.42261
17.2640067,76,78.2780456
17.284501,84,78.1347782
17.3049953,64,77.9927865
17.3254895,76,77.8520524
17.3459838,69,77.7125604
17.366478,92,77.5742965
17.3869723,77,77.437248
17.4074666,72,77.3014032
17.4279608,76,77.1667509
17.4484551,82,77.0332809
17.4689494,73,76.9009837
17.4894436,61,76.7698499
17.5099379,75,76.6398678
17.5304321,65,76.5110261
17.5509264,75,76.3833174
17.5714207,67,76.256734
17.5919149,65,76.1312675
17.6124092,78,76.0069108
17.6329035,75,75.8836577
17.6533977,70,75.7614967
17.673892,74,75.6404112
17.6943862,70,75.5204036
17.7148805,80,75.4014771
17.7353748,64,75.2836207
17.755869,83,75.1668282
17.7763633,79,75.0510971
17.7968576,72,74.9364271
17.8173518,71,74.8228209
17.8378461,71,74.7102864
17.8583403,85,74.5988391
17.8788346,68,74.488508
17.8993289,73,74.3793463
17.9198231,77,74.2714614
17.9403174,72,74.1651039
17.9608117,69,74.0608274
17.9813059,74,73.9596067
18.0018002,65,73.8633695
18.0222944,67,73.7767046
18.0427887,80,73.7092204
18.063283,76,73.6791418
18.0837772,66,73.6951413
18.1042715,66,73.6801221
18.1247658,84,73.5066975
18.14526,60,73.2763144
18.1657543,60,73.136779
18.1862485,76,73.0681151
18.2067428,68,73.014256
18.2272371,71,72.9028555
18.2477313,74,72.7407443
18.2682256,77,72.5969829
18.2887199,72,72.4853099
18.3092141,62,72.3874868
18.3297084,59,72.2952084
18.3502026,89,72.2071145
18.3706969,63,72.1245065
18.3911912,72,72.05081
18.4116854,82,71.9863613
18.4321797,84,71.9121504
18.452674,75,71.8071101
18.4731682,69,71.7040427
18.4936625,72,71.6215382
18.5141567,68,71.5581797
18.534651,89,71.5110844
18.5551453,68,71.4810748
18.5756395,78,71.4774783
18.5961338,69,71.4495199
18.6166281,64,71.3069723
18.6371223,81,71.1265102
18.6576166,76,71.0139935
18.6781108,61,70.9554014
18.6986051,64,70.9105761
18.7190994,70,70.8276005
18.7395936,63,70.7009754
18.7600879,55,70.583382
18.7805822,81,70.4918467
18.8010764,69,70.4120079
18.8215707,63,70.3361561
18.8420649,67,70.2622394
18.8625592,76,70.1896185
18.8830535,72,70.1180327
18.9035477,91,70.0473578
18.924042,59,69.9775298
18.9445363,64,69.9085163
18.9650305,60,69.8403038
18.9855248,79,69.7728924
19.006019,82,69.7062943
19.0265133,56,69.6405344
19.0470076,70,69.5756529
19.0675018,83,69.5117049
19.0879961,72,69.4487655
19.1084904,80,69.386958
19.1289846,82,69.3264604
19.1494789,64,69.2675407
19.1699731,72,69.2106209
19.1904674,75,69.1564061
19.2109617,69,69.1061924
19.2314559,66,69.0626959
19.2519502,69,69.0321604
19.2724445,74,69.0286624
19.2929387,76,69.0822802
19.313433,81,69.2577578
19.3339272,59,69.6936742
19.3544215,70,70.601429
19.3749158,53,71.8214723
19.39541,88,71.9489854
19.4159043,66,70.2035161
19.4363986,66,69.2934367
19.4568928,77,69.2137631
19.4773871,61,69.5816786
19.4978813,59,70.0373308
19.5183756,69,69.8163933
19.5388699,75,68.8634457
19.5593641,78,68.374867
19.5798584,81,68.1832235
19.6003527,70,68.0761642
19.6208469,78,67.9962931
19.6413412,60,67.9282514
19.6618354,59,67.8665072
19.6823297,73,67.8086358
19.702824,69,67.7534822
19.7233182,70,67.7002845
19.7438125,58,67.6482393
19.7643068,65,67.5972591
19.784801,60,67.5472492
19.8052953,73,67.4981209
19.8257895,65,67.4498348
19.8462838,59,67.4024043
19.8667781,77,67.3559573
19.8872723,68,67.3108479
19.9077666,57,67.2679154
19.9282609,82,67.228952
19.9487551,86,67.1977647
19.9692494,75,67.1807474
19.9897436,58,67.1765193
20.0102379,73,67.1445654
20.0307322,76,67.0483752
20.0512264,60,66.976785
20.0717207,73,66.9308705
20.092215,75,66.8997164
20.1127092,76,66.8745335
20.1332035,61,66.8327313
20.1536977,84,66.766614
20.174192,73,66.7099176
20.1946863,61,66.6636411
20.2151805,72,66.6216504
20.2356748,64,66.581304
20.2561691,60,66.5415063
20.2766633,75,66.5021975
20.2971576,81,66.4633529
20.3176518,80,66.4249297
20.3381461,57,66.3869029
20.3586404,58,66.3492617
20.3791346,64,66.3119904
20.3996289,67,66.2750552
20.4201232,68,66.2384585
20.4406174,67,66.2022022
20.4611117,70,66.1662839
20.4816059,66,66.130701
20.5021002,69,66.0954539
20.5225945,64,66.0605444
20.5430887,56,66.0259316
20.563583,61,65.9915129
20.5840773,63,65.9573914
20.6045715,74,65.9237847
20.6250658,62,65.8905687
20.64556,75,65.8577071
20.6660543,60,65.8252066
20.6865486,61,65.7930674
20.7070428,66,65.7612942
20.7275371,64,65.7299101
20.7480314,83,65.6989348
20.7685256,67,65.6683844
20.7890199,68,65.6382595
20.8095141,58,65.6085563
20.8300084,70,65.5794196
20.8505027,74,65.5511473
20.8709969,73,65.5237247
20.8914912,61,65.4972718
20.9119855,81,65.4720253
20.9324797,65,65.4483359
20.952974,68,65.4267378
20.9734682,60,65.4080983
20.9939625,59,65.3939056
21.0144568,75,65.3870009
21.034951,77,65.3936431
